seed,mode,severity,variant,f1,precision,recall,density_err,orbit_violations,rot_sym_error
19,jitter,0.0,unc_free,0.5641363118890201,0.544381175905582,0.6189027486166485,0.09275828941589812,1.8833333333333333,0.02611105966545684
19,jitter,0.0,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,jitter,0.02,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.022321482191441075
19,jitter,0.02,unc_proj,0.5617885070275694,0.550988503264209,0.6051573038405249,0.08845108695652174,0.0,0.022122928000914456
19,jitter,0.02,unc_free,0.5640903615162957,0.5443398457308593,0.6188212015978337,0.09275828941589812,2.05,0.02591349337106645
19,jitter,0.02,template,0.5721944008078871,0.46305150137165374,0.8054032473075189,0.2553554567413263,0.0,0.028167691445652787
19,jitter,0.05,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.02225695200140367
19,jitter,0.05,unc_proj,0.5626927873081463,0.5517003088197645,0.6064569759084262,0.08845108695652174,0.0,0.02207495417375232
19,jitter,0.05,unc_free,0.5629373379663246,0.543093016684821,0.6177152644046762,0.09275828941589812,2.466666666666667,0.02602458164467243
19,jitter,0.05,template,0.5702959351346483,0.46220546624462683,0.799273311630989,0.25132054238032503,0.0,0.027612109871156327
19,jitter,0.1,constrained,0.5590472814467126,0.5484383124657909,0.6037296569160607,0.08971371321914799,0.0,0.02176410340736725
19,jitter,0.1,unc_proj,0.5625653169037225,0.5513834471613079,0.6065516728781231,0.08864048089591567,0.0,0.0221244403946058
19,jitter,0.1,unc_free,0.5613633775825256,0.5416978469463412,0.6158729100555635,0.09275828941589812,3.683333333333333,0.02628079226305023
19,jitter,0.1,template,0.571208437469886,0.4648323587939526,0.7955114486705913,0.24545756477821695,0.0,0.02646588004640506
19,jitter,0.15,constrained,0.5538999140378056,0.5437977644362342,0.5978825093544774,0.08927179402722882,0.0,0.021995753846291412
19,jitter,0.15,unc_proj,0.5603171583344401,0.5495780309250138,0.6038236833474574,0.08851421826965304,0.0,0.02177853927590216
19,jitter,0.15,unc_free,0.5577947000484929,0.5385137091221044,0.6118100941742204,0.09275828941589812,6.35,0.026929085650429768
19,jitter,0.15,template,0.5670896417864936,0.46286692416917347,0.7864276206841492,0.24030275581906016,0.0,0.02703904810294072
19,dropout,0.0,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.022321454877196893
19,dropout,0.0,unc_proj,0.5630333203055777,0.5519260032642089,0.6070091556923767,0.08845108695652174,0.0,0.022134453426397433
19,dropout,0.0,unc_free,0.5641363118890201,0.544381175905582,0.6189027486166485,0.09275828941589812,1.8833333333333333,0.02611105972383137
19,dropout,0.0,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,dropout,0.1,constrained,0.5470561289758511,0.5363514156860062,0.5907071166408232,0.08895613746157224,0.0,0.02134516759541628
19,dropout,0.1,unc_proj,0.5557773241193408,0.5446703241881043,0.5996829084174643,0.08971371321914799,0.0,0.022331299407052856
19,dropout,0.1,unc_free,0.5216646765837196,0.5049642229753452,0.5705474326649624,0.09275828941589812,23.583333333333332,0.03389860538547629
19,dropout,0.1,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,dropout,0.2,constrained,0.5329666531710662,0.5196653496168582,0.5804679711420628,0.08990310715854194,0.0,0.02258231417173493
19,dropout,0.2,unc_proj,0.5411304539530567,0.527927271483306,0.5870914263845725,0.09009250109793589,0.0,0.022648544864734197
19,dropout,0.2,unc_free,0.4732186540797108,0.4588402190815079,0.5171026590996085,0.09275828941589812,32.233333333333334,0.038531436260508305
19,dropout,0.2,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,dropout,0.3,constrained,0.5252502322401321,0.510084921297032,0.5734303171107817,0.0906606829161177,0.0,0.023873448942698574
19,dropout,0.3,unc_proj,0.5483699867017052,0.5360679957080471,0.5939013479891585,0.09122886473429952,0.0,0.023334706126950357
19,dropout,0.3,unc_free,0.4483921912835363,0.43730129539463314,0.48685886473101786,0.09275828941589812,36.86666666666667,0.04206913758108698
19,dropout,0.3,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,sector,0.0,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.022321454847048738
19,sector,0.0,unc_proj,0.5630333203055777,0.5519260032642089,0.6070091556923767,0.08845108695652174,0.0,0.022134453431195154
19,sector,0.0,unc_free,0.5641363118890201,0.544381175905582,0.6189027486166485,0.09275828941589812,1.8833333333333333,0.026111059737574986
19,sector,0.0,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,sector,0.02,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.02232146281269686
19,sector,0.02,unc_proj,0.5607921302159752,0.5500336421530979,0.6041156371738583,0.08845108695652174,0.0,0.022099456707271644
19,sector,0.02,unc_free,0.5635528494367763,0.5438435414969798,0.6182591203523496,0.09275828941589812,1.9,0.026002968156310688
19,sector,0.02,template,0.5733999184339086,0.46401259282220253,0.8070249161585455,0.25537192577953444,0.0,0.02803643236521629
19,sector,0.05,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.022321497397909427
19,sector,0.05,unc_proj,0.5609409397397848,0.5502072532642089,0.6042458455071916,0.08845108695652174,0.0,0.022061861044118707
19,sector,0.05,unc_free,0.5635568682687796,0.5439708786494066,0.6180995944931919,0.09275828941589812,2.0833333333333335,0.025878503523326192
19,sector,0.05,template,0.5709680472796962,0.4625638161069778,0.8021628863559194,0.253181543697848,0.0,0.028105852247148864
19,sector,0.1,constrained,0.5613323511579899,0.5513182043650794,0.6051096541069424,0.08901926877470356,0.0,0.02226418443256205
19,sector,0.1,unc_proj,0.5611593350990108,0.5503287810419868,0.6046218567773001,0.08845108695652174,0.0,0.022117873287563507
19,sector,0.1,unc_free,0.5644767997726425,0.5447757285338116,0.6191808045877712,0.09275828941589812,2.183333333333333,0.02587907754175523
19,sector,0.1,template,0.5711272188222732,0.46299728703435117,0.801220857370412,0.2520616490996926,0.0,0.027549640371041566
19,sector,0.15,constrained,0.5628450068705597,0.5526527863300493,0.6068149042102909,0.08920866271409748,0.0,0.022501193599501274
19,sector,0.15,unc_proj,0.5621275232041284,0.5510579477086534,0.6060621859954071,0.08845108695652174,0.0,0.02215393479055281
19,sector,0.15,unc_free,0.5646776398416351,0.5450837520303211,0.6192731237990018,0.09275828941589812,2.7,0.026256112951562237
19,sector,0.15,template,0.5725473046522552,0.46418677815352954,0.8029549094818227,0.25207811813790076,0.0,0.02786584436460887
